age,birthreg,cbsasz,disability,educrec,elignatz,entryc,famstruct,forborn,govtemp,health,hhhsize,inscov,male,marst,natz,ownchild,ownhome,pernum,perwt,povpct,race,serial,statefip,statereg,tmetro_intv,veteran,work,year
79,0,0,1,1,0,NA,5,0,0,3,1,1,0,5,0,0,0,1,1132,117.08454,1,2,23,5,1,0,5,2016
60,0,0,1,1,0,NA,1,0,0,5,2,1,0,1,0,0,1,1,1078,184.58824,1,7,23,5,1,0,3,2016
59,0,0,1,3,0,NA,1,0,0,4,2,1,1,1,0,0,1,2,1078,184.58824,1,7,23,5,1,1,3,2016
69,0,0,0,3,0,NA,4,0,0,3,1,1,1,5,0,0,1,1,1151,212.00844,1,8,23,5,1,1,5,2016
24,0,0,0,2,0,NA,2,0,0,3,2,0,1,6,0,1,1,1,705,38.562771,1,9,23,5,1,0,2,2016
4,0,0,0,1,0,NA,2,0,0,1,2,1,0,6,0,0,1,2,555,38.562771,1,9,23,5,1,0,0,2016
50,0,0,1,2,0,NA,3,0,0,4,2,1,0,4,0,1,0,1,665,53.840973,1,11,23,5,1,0,3,2016
8,0,0,0,1,0,NA,3,0,0,3,2,1,1,6,0,0,0,2,763,53.840973,1,11,23,5,1,0,0,2016
80,0,0,1,3,0,NA,5,0,0,4,1,1,0,5,0,0,0,1,1299,156.47049,1,12,23,5,1,0,5,2016
80,0,0,0,1,0,NA,1,0,0,4,2,1,0,1,0,0,1,1,1341,121.47145,1,13,23,5,1,0,5,2016
80,0,0,0,1,0,NA,1,0,0,4,2,1,1,1,0,0,1,2,1341,121.47145,1,13,23,5,1,0,5,2016
50,0,0,1,1,0,NA,2,0,0,5,2,1,1,4,0,0,1,1,1362,280.08948,1,14,23,5,1,0,3,2016
25,0,0,0,1,0,NA,2,0,0,4,2,0,1,6,0,0,1,2,1361,280.08948,1,14,23,5,1,0,1,2016
71,0,0,1,1,0,NA,1,0,0,5,2,1,1,1,0,0,1,1,1170,363.18582,1,19,23,5,1,0,5,2016
69,0,0,1,2,0,NA,1,0,0,5,2,1,0,1,0,0,1,2,1170,363.18582,1,19,23,5,1,0,5,2016
65,0,0,0,3,0,NA,5,0,0,3,2,1,0,4,0,0,1,1,1155,358.93375,1,20,23,5,1,0,1,2016
56,0,0,0,4,0,NA,4,0,0,2,2,1,1,6,0,0,1,2,1155,406.06601,1,20,23,5,1,0,1,2016
37,0,0,0,3,0,NA,1,0,0,2,5,1,0,1,0,1,1,1,649,98.988899,1,21,23,5,1,0,1,2016
42,0,0,0,2,0,NA,1,0,1,2,5,1,1,1,0,1,1,2,649,98.988899,1,21,23,5,1,0,1,2016
17,0,0,0,1,0,NA,1,0,0,2,5,1,1,6,0,0,1,3,698,98.988899,1,21,23,5,1,0,4,2016
14,0,0,0,1,0,NA,1,0,0,2,5,1,1,6,0,0,1,4,730,98.988899,1,21,23,5,1,0,0,2016
11,0,0,0,1,0,NA,1,0,0,4,5,1,0,6,0,0,1,5,581,98.988899,1,21,23,5,1,0,0,2016
75,0,0,0,2,0,NA,5,0,0,2,1,1,0,4,0,0,1,1,1198,156.55846,1,23,23,5,1,0,5,2016
85,0,0,1,1,0,NA,1,0,0,5,2,1,1,1,0,0,0,1,845,307.65042,4,29,23,5,1,1,5,2016
70,0,0,1,4,0,NA,1,0,0,3,2,1,0,1,0,0,0,2,845,307.65042,4,29,23,5,1,0,5,2016
41,0,0,0,2,0,NA,1,0,0,1,4,1,0,1,0,1,1,1,951,94.479118,1,34,23,5,1,0,4,2016
49,0,0,1,2,0,NA,1,0,0,5,4,1,1,1,0,1,1,2,951,94.479118,1,34,23,5,1,0,3,2016
16,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,3,866,94.479118,1,34,23,5,1,0,4,2016
13,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,4,831,94.479118,1,34,23,5,1,0,0,2016
37,0,0,0,2,0,NA,1,0,0,1,2,1,1,1,0,0,1,1,1379,500,1,35,23,5,1,0,2,2016
42,0,0,0,2,0,NA,1,0,0,1,2,1,0,1,0,0,1,2,1379,500,1,35,23,5,1,0,1,2016
53,0,0,0,3,0,NA,1,0,0,4,2,1,0,1,0,0,1,1,1304,500,1,38,23,5,1,0,1,2016
59,1,0,0,2,1,2,1,1,0,1,2,1,1,1,1,0,1,2,1304,500,1,38,23,5,1,0,1,2016
58,0,0,1,2,0,NA,1,0,0,4,2,1,1,1,0,0,0,1,1160,500,1,39,23,5,1,0,3,2016
51,0,0,1,3,0,NA,1,0,0,3,2,1,0,1,0,0,0,2,1160,500,1,39,23,5,1,0,1,2016
75,1,0,1,2,1,6,1,1,0,3,2,1,0,1,1,0,1,1,1341,178.10275,1,41,23,5,1,0,5,2016
80,0,0,1,2,0,NA,1,0,0,3,2,1,1,1,0,0,1,2,1341,178.10275,1,41,23,5,1,1,5,2016
34,0,0,1,3,0,NA,5,0,0,4,1,1,0,4,0,0,1,1,1272,79.304192,1,42,23,5,1,0,3,2016
54,0,0,1,2,0,NA,4,0,0,5,1,1,1,4,0,0,0,1,1120,95.555916,1,43,23,5,1,1,3,2016
46,0,0,1,3,0,NA,3,0,0,3,2,1,0,3,0,1,1,1,677,193.10767,1,44,23,5,1,0,3,2016
15,0,0,0,1,0,NA,3,0,0,3,2,1,1,6,0,0,1,2,849,193.10767,1,44,23,5,1,0,3,2016
68,0,0,1,3,0,NA,1,0,0,3,2,1,1,1,0,0,1,1,1247,500,1,46,23,5,1,1,5,2016
68,1,0,1,2,1,6,1,1,0,3,2,1,0,1,1,0,1,2,1247,500,1,46,23,5,1,0,5,2016
77,0,0,0,3,0,NA,1,0,0,3,2,1,1,1,0,0,1,1,1201,79.519753,1,47,23,5,1,1,5,2016
